[2024-04-30 21:59:09,292    GlobalStatic.py:Create_InitLogger:    INFO] **************************************Program Start*****************************************
[2024-04-30 21:59:09,293    GlobalStatic.py:Create_InitLogger:    INFO] {'result': '1'}
[2024-04-30 21:59:09,293             cli.py:  <module>:    INFO] CMD#
[2024-04-30 21:59:09,293             cli.py:  <module>:    INFO] CMD#
[2024-04-30 21:59:09,294             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,connect,192.168.100.254
[2024-04-30 21:59:09,320              IQ.py:   connect:    INFO] IQ.IQ:connect start
[2024-04-30 21:59:09,320              IQ.py:   connect:    INFO] setting = {"freq": [2437, 1575.52], "timeout": 60}
[2024-04-30 21:59:09,321             TCP.py:  connectt:    INFO] TCP.TCP:connectt start
[2024-04-30 21:59:09,321             TCP.py:      ping:    INFO] TCP.TCP:ping start
[2024-04-30 21:59:09,325             TCP.py:      ping:    INFO] {'result': '1'}
[2024-04-30 21:59:09,326             TCP.py:  connectt:    INFO] {'result': '1'}
[2024-04-30 21:59:09,327             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:09,327             TCP.py:     query:    INFO] *IDN?

[2024-04-30 21:59:09,666             TCP.py:     query:    INFO] LitePoint,IQXEL-M8W,IQ1318A6912,1.24.0
[2024-04-30 21:59:09,666             TCP.py:     query:    INFO] {'result': '1', 'data': 'LitePoint,IQXEL-M8W,IQ1318A6912,1.24.0'}
[2024-04-30 21:59:09,667              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:09,667             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:09,667             TCP.py:     write:    INFO] MROUT:DEL;MVSA:DEL;MVSG:DEL;REM:DISC:ALL;MROUT:DEF:ADD ROUT1,"LOCALHOST";MVSG:DEF:ADD VSG1,"LOCALHOST";MVSA:DEF:ADD VSA1,"LOCALHOST";
[2024-04-30 21:59:09,667             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:09,667             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:09,690             TCP.py:     query:    INFO] 

